Period,DefaultRate,USDJPYSPOT,NikkeiStockAverage,CallRate,PrimeRateST,PrimeRateLT,LendingLocalBank,All_RE_Price,Tokyo_RE_Price,Hiroshima_RE_Price,Yamaguchi_RE_Price,Fukuoka_RE_Price,All_RE_Rate,Tokyo_RE_Rate,Hiroshima_RE_Rate,Yamaguchi_RE_Rate,Fukuoka_RE_Rate
20-Aug,0.011,105.83,23139.76,-0.057,0.454,0.783,2654726,,,,,,,,,,
20-Sep,0.011,105.62,23185.12,-0.061,0.453,0.784,2660586,,,,,,,,,,
20-Oct,0.01,104.36,22977.13,-0.029,0.462,0.784,2660678,,,,,,,,,,
20-Nov,0.01,104.03,26433.62,-0.032,0.45,0.782,2664353,,,,,,,,,,
20-Dec,0.01,103.33,27444.17,-0.033,0.481,0.781,2676743,,,,,,,,,,
21-Jan,0.01,104.55,27663.39,-0.012,0.468,0.779,2683948,,,,,,,,,,
21-Feb,0.01,106.09,28966.01,-0.022,0.46,0.778,2688814,,,,,,,,,,
21-Mar,0.009,110.74,29178.8,-0.044,0.459,0.775,2700716,"148,500","498,500","100,200","29,300","124,900",-0.6,0.1,-0.3,-0.7,1.2
21-Apr,0.009,108.89,28812.63,-0.017,0.444,0.774,2697772,,,,,,,,,,
21-May,0.009,109.72,28860.08,-0.034,0.45,0.77,2697199,,,,,,,,,,
21-Jun,0.009,110.55,28791.53,-0.05,0.444,0.77,2699046,,,,,,,,,,
21-Jul,0.009,109.53,27283.59,-0.044,0.461,0.767,2703415,,,,,,,,,,
21-Aug,0.009,109.82,28089.54,-0.036,0.455,0.766,2706295,,,,,,,,,,
21-Sep,0.01,111.88,29452.66,-0.049,0.454,0.765,2708875,,,,,,,,,,
21-Oct,0.01,113.61,28892.69,-0.027,0.468,0.763,2715115,,,,,,,,,,
21-Nov,0.01,113.19,27821.76,-0.048,0.463,0.763,2715407,,,,,,,,,,
21-Dec,0.01,115.12,28791.71,-0.018,0.475,0.761,2730377,,,,,,,,,,
22-Jan,0.01,115.43,27001.98,-0.021,0.484,0.76,2733263,,,,,,,,,,
22-Feb,0.01,115.5,26526.82,-0.012,0.481,0.758,2734991,,,,,,,,,,
22-Mar,0.01,121.64,27821.43,-0.02,0.487,0.755,2746198,"148,800","496,400","101,300","29,300","132,200",-0.4,0.2,-0.5,-0.7,1.9
